subject,idna_subject,expiration_date,epoch
001londonescorts.com,001londonescorts.com,13-jul-2022,1657670400.0
007angels.com,007angels.com,14-may-2021,1620950400.0
01porno.club,01porno.club,14-apr-2021,1618358400.0
037jav.com,037jav.com,26-jan-2021,1611619200.0
0bat.com,0bat.com,08-feb-2021,1612742400.0
0img.net,0img.net,31-aug-2021,1630368000.0
0pig.com,0pig.com,18-may-2021,1621296000.0
0xxx.ws,0xxx.ws,21-jan-2025,1737417600.0
1-chat.com,1-chat.com,18-mar-2021,1616025600.0
1-porno.org,1-porno.org,30-jun-2021,1625011200.0
1000livecams.com,1000livecams.com,29-may-2021,1622246400.0
1001jav.xyz,1001jav.xyz,06-feb-2021,1612569600.0
100200film.com,100200film.com,08-aug-2021,1628380800.0
100amateurvideos.com,100amateurvideos.com,04-sep-2021,1630713600.0
100bestpornsites.com,100bestpornsites.com,06-jul-2021,1625529600.0
100picsbbw.com,100picsbbw.com,13-mar-2021,1615593600.0
100xxxvideos.com,100xxxvideos.com,27-aug-2021,1630022400.0
101boyvideos.com,101boyvideos.com,03-jun-2022,1654214400.0
101sexsecret.com,101sexsecret.com,09-jul-2021,1625788800.0
10musume.com,10musume.com,18-jul-2021,1626566400.0
123-videos-pornos.com,123-videos-pornos.com,27-feb-2022,1645920000.0
123games.dk,123games.dk,31-mar-2025,1743379200.0
123livesex.com,123livesex.com,23-may-2026,1779494400.0
123videos.tv,123videos.tv,21-aug-2022,1661040000.0
123xxx.xyz,123xxx.xyz,12-aug-2021,1628726400.0
17sexvideo.com,17sexvideo.com,11-jun-2021,1623369600.0
180chan.info,180chan.info,18-mar-2021,1616025600.0
181st.net,181st.net,27-mar-2021,1616803200.0
18andbusty.com,18andbusty.com,10-feb-2021,1612915200.0
18ans-erog.com,18ans-erog.com,30-jun-2021,1625011200.0
18eighteen.com,18eighteen.com,13-may-2021,1620864000.0
18firstsex.com,18firstsex.com,02-apr-2021,1617321600.0
18freshteenies.com,18freshteenies.com,09-jun-2021,1623196800.0
18mate.com,18mate.com,18-jul-2025,1752796800.0
18onlygirls.com,18onlygirls.com,26-mar-2021,1616716800.0
18porn.sex,18porn.sex,27-mar-2021,1616803200.0
18porno.tv,18porno.tv,29-aug-2021,1630195200.0
18qt.com,18qt.com,06-apr-2025,1743897600.0
18sexyasians.com,18sexyasians.com,10-jul-2021,1625875200.0
18teenporn.net,18teenporn.net,15-apr-2021,1618444800.0
18teenvid.com,18teenvid.com,07-jun-2021,1623024000.0
18tube.club,18tube.club,09-feb-2021,1612828800.0
18tube.xxx,18tube.xxx,13-apr-2021,1618272000.0
18tubefuck.com,18tubefuck.com,10-may-2021,1620604800.0
18vr.com,18vr.com,12-may-2022,1652313600.0
19lib.com,19lib.com,04-feb-2021,1612396800.0
19thholecarts.com,19thholecarts.com,27-mar-2021,1616803200.0
1adult.com,1adult.com,14-aug-2021,1628899200.0
1arabsextube.com,1arabsextube.com,06-feb-2021,1612569600.0
1by-day.com,1by-day.com,10-jun-2021,1623283200.0
1classtube.com,1classtube.com,25-mar-2021,1616630400.0
1eden.com,1eden.com,22-dec-2021,1640131200.0
1escort.com,1escort.com,10-jun-2021,1623283200.0
1freetube.com,1freetube.com,15-jul-2021,1626307200.0
1girl1pitcher.org,1girl1pitcher.org,01-jun-2021,1622505600.0
