idna_subject,checker_type,destination,source,tested_at,session_id
0.cdn.ddstatic.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.555304,a655081716edb76157db3da1
0.t.4cdn.org,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.568844,a655081716edb76157db3da1
0.xd-cdn.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.581194,a655081716edb76157db3da1
0.xhcdn.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.593683,a655081716edb76157db3da1
001londonescorts.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.605891,a655081716edb76157db3da1
037jav.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.621011,a655081716edb76157db3da1
0bat.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.633210,a655081716edb76157db3da1
0img.net,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.645518,a655081716edb76157db3da1
0xxx.in,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.657814,a655081716edb76157db3da1
0xxx.ws,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.670244,a655081716edb76157db3da1
1-416-19-10.b.cdn13.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.682580,a655081716edb76157db3da1
1-chat.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.695018,a655081716edb76157db3da1
1-porno.org,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.707456,a655081716edb76157db3da1
1.cdn.ddstatic.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.719820,a655081716edb76157db3da1
1.images.thumbhost1.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.735115,a655081716edb76157db3da1
1.prostoporno.help,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.747650,a655081716edb76157db3da1
1.relaxpics.net,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.760142,a655081716edb76157db3da1
1.xd-cdn.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.772640,a655081716edb76157db3da1
1.xhcdn.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.785029,a655081716edb76157db3da1
1.xx-i.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.797451,a655081716edb76157db3da1
10.images.thumbhost1.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.809916,a655081716edb76157db3da1
100.i.overthumbs.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.822386,a655081716edb76157db3da1
1000facials.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.834893,a655081716edb76157db3da1
1000livecams.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.847484,a655081716edb76157db3da1
1000porn.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.859977,a655081716edb76157db3da1
1001jav.xyz,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.872639,a655081716edb76157db3da1
1001xxx.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.885223,a655081716edb76157db3da1
100200film.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.897784,a655081716edb76157db3da1
100amateurvideos.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.910310,a655081716edb76157db3da1
100bestpornsites.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.922879,a655081716edb76157db3da1
100gbtube.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.935569,a655081716edb76157db3da1
100hottestpornstars.blogspot.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.948442,a655081716edb76157db3da1
100picsbbw.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.961081,a655081716edb76157db3da1
100pour100sexe.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.974375,a655081716edb76157db3da1
100sexvideos.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.987114,a655081716edb76157db3da1
101boyvideos.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:19.999865,a655081716edb76157db3da1
101hentai.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.012637,a655081716edb76157db3da1
101sexsecret.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.025385,a655081716edb76157db3da1
10320-139.s.cdn13.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.038211,a655081716edb76157db3da1
110.i.overthumbs.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.051117,a655081716edb76157db3da1
11inchesbuffed.tumblr.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.063855,a655081716edb76157db3da1
12111549.pix-cdn.org,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.076588,a655081716edb76157db3da1
123avalon.tumblr.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.089314,a655081716edb76157db3da1
123livesex.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.102044,a655081716edb76157db3da1
123plaisir.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.114826,a655081716edb76157db3da1
123porn.xyz,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.127652,a655081716edb76157db3da1
123videos.tv,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.140525,a655081716edb76157db3da1
123xxx.xyz,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.153337,a655081716edb76157db3da1
1240.stats.misstrends.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.166188,a655081716edb76157db3da1
130.zzcartoon.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.179220,a655081716edb76157db3da1
16honeys.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.192222,a655081716edb76157db3da1
171gifs.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.205193,a655081716edb76157db3da1
18-teen-porn.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.218154,a655081716edb76157db3da1
18-teen-sex.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.231162,a655081716edb76157db3da1
18-teen-tube.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.244183,a655081716edb76157db3da1
18-teen-xxx.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.257300,a655081716edb76157db3da1
18.sexy.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.270243,a655081716edb76157db3da1
1800800.co.il,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.283232,a655081716edb76157db3da1
180chan.info,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.296378,a655081716edb76157db3da1
181st.net,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.309350,a655081716edb76157db3da1
18andabused.tv,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.322396,a655081716edb76157db3da1
18andbusty.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.335405,a655081716edb76157db3da1
18comix.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.348446,a655081716edb76157db3da1
18eighteenz.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.361512,a655081716edb76157db3da1
18etplus.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.374561,a655081716edb76157db3da1
18firstsex.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.387555,a655081716edb76157db3da1
18freshteenies.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.400597,a655081716edb76157db3da1
18girlssex.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.413755,a655081716edb76157db3da1
18magazine.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.426808,a655081716edb76157db3da1
18onlygirls.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.440102,a655081716edb76157db3da1
18onlygirls.tv,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.453408,a655081716edb76157db3da1
18phd.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.466721,a655081716edb76157db3da1
18porno.tv,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.479966,a655081716edb76157db3da1
18pornvideos.net,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.493407,a655081716edb76157db3da1
18qt.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.506686,a655081716edb76157db3da1
18sexyasians.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.519864,a655081716edb76157db3da1
18stream.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.533177,a655081716edb76157db3da1
18teen-tube.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.546475,a655081716edb76157db3da1
18teenieshub.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.559830,a655081716edb76157db3da1
18teenporn.net,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.573156,a655081716edb76157db3da1
18teenvid.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.586516,a655081716edb76157db3da1
18tube.club,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.599782,a655081716edb76157db3da1
18tubefuck.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.613070,a655081716edb76157db3da1
18tubehd.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.626461,a655081716edb76157db3da1
18virginsex.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.639765,a655081716edb76157db3da1
18vr.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.653070,a655081716edb76157db3da1
18yearsold.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.666497,a655081716edb76157db3da1
18yoga.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.679908,a655081716edb76157db3da1
19-12.b.cdn13.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.693398,a655081716edb76157db3da1
192.41.162.30www.sexy.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.706874,a655081716edb76157db3da1
19h59.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.732130,a655081716edb76157db3da1
19nitten.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.745736,a655081716edb76157db3da1
19thholecarts.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.759215,a655081716edb76157db3da1
1all.eroporn18.ru,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.772685,a655081716edb76157db3da1
1arabsextube.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.786192,a655081716edb76157db3da1
1baiser.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.799760,a655081716edb76157db3da1
1by-day.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.813268,a655081716edb76157db3da1
1classtube.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.826897,a655081716edb76157db3da1
1empiredirect.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.840524,a655081716edb76157db3da1
1escort.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.854159,a655081716edb76157db3da1
1freetube.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.867682,a655081716edb76157db3da1
1girl1pitcher.com,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.881351,a655081716edb76157db3da1
1girl1pitcher.org,AVAILABILITY,domains.list,domains.list,2001-09-24 01:37:20.894986,a655081716edb76157db3da1
